Time,Data
0.694,-0.05371401198919803
0.695,-0.06271561160695756
0.696,-0.06911613567509439
0.697,-0.07534225323709252
0.698,-0.07819685923518328
0.699,-0.06911534398319473
0.7,-0.06130008763116821
0.701,-0.05670387395332892
0.702,-0.046863137271491453
0.703,-0.036612185766551016
0.704,-0.030733633530620048
0.705,-0.026613331345399366
0.706,-0.02496748211420463
0.707,-0.030695521284247934
0.708,-0.046887635797786424
0.709,-0.06898551227447261
0.71,-0.08306514859560603
0.711,-0.09118725440779103
0.712,-0.10174844168650453
0.713,-0.11776731627312002
0.714,-0.12105327305312977
0.715,-0.10822926552878849
0.716,-0.09360817709636177
0.717,-0.0909499398048914
0.718,-0.09014785130779651
0.719,-0.0809036918263826
0.72,-0.07645048914109857
0.721,-0.08636983414868162
0.722,-0.09453044257080362
0.723,-0.09815063627100859
0.724,-0.10796455236632997
0.725,-0.12345461916417949
0.726,-0.1411041739761097
0.727,-0.14862506862117197
0.728,-0.1501246677396491
0.729,-0.15019202969137402
0.73,-0.14890050467807844
0.731,-0.14173961952243866
0.732,-0.12849983692036518
0.733,-0.11713788198932339
0.734,-0.10764781634015767
0.735,-0.09695546908382097
0.736,-0.08584383357506548
0.737,-0.07990757748345166
0.738,-0.07752842381366379
0.739,-0.07586130023906026
0.74,-0.08182386889877553
0.741,-0.09408800731229618
0.742,-0.10407870480450768
0.743,-0.11499104163817238
0.744,-0.1228372372403211
0.745,-0.13053208028360416
0.746,-0.13701673932369413
0.747,-0.13940981212609033
0.748,-0.14216338772506204
0.749,-0.14319411831814569
0.75,-0.13395760043470092
0.751,-0.11944025603071201
0.752,-0.10805611109800375
0.753,-0.10045422621988305
0.754,-0.09726233616343709
0.755,-0.09580902434739767
0.756,-0.09387625061248732
0.757,-0.10353329886148188
0.758,-0.11509133437903793
0.759,-0.12119634972197264
0.76,-0.13205122871949235
0.761,-0.1447304577201296
0.762,-0.15152961000931334
0.763,-0.15128121802852937
0.764,-0.14957206167100018
0.765,-0.1498143910114914
0.766,-0.14215221681067128
0.767,-0.12121795016234994
0.768,-0.1077872045726132
0.769,-0.10440327912910352
0.77,-0.1030520459906318
0.771,-0.10395987890900665
0.772,-0.10656275912920965
0.773,-0.10765833936273357
0.774,-0.11671197393515109
0.775,-0.1252513677686402
0.776,-0.12426091272011007
0.777,-0.1254819663566037
0.778,-0.12354146926980157
0.779,-0.11986605732796866
0.78,-0.12438560061605443
0.781,-0.13207921841025932
0.782,-0.12245747874654316
0.783,-0.11009706231405249
0.784,-0.10734237162020187
0.785,-0.11426103966082334
0.786,-0.11789120550864282
